Year,Treat.Code,Plot,Subplot,Species,germ.tot,germ.proj,trt.mort,pst.mort,tot.mort,viable
2017,C,18,Grass,Hemizonia congesta,22,16,0,8,8,32
2017,C,18,Thatch,Hemizonia congesta,18,19,4,10,14,32
2017,C,18,No Grass,Calycadenia pauciflora,15,15,2,13,15,31
2017,C,18,No Grass,Agoseris heterophylla,84,15,0,1,1,94
2017,C,18,No Grass,Lasthenia californica,99,15,0,0,0,100
2017,C,18,Grass,Lasthenia californica,50,15,0,0,0,100
2017,C,18,Thatch,Agoseris heterophylla,65,23,8,3,11,94
2017,C,18,Thatch,Lasthenia californica,16,16,1,1,2,100
2017,C,18,Grass,Agoseris heterophylla,63,15,0,1,1,94
2017,C,18,Grass,Clarkia purpurea,15,16,4,12,16,30
2017,C,18,No Grass,Hemizonia congesta,18,15,0,9,9,32
2017,C,18,No Grass,Clarkia purpurea,12,15,1,13,14,30
2017,C,18,No Grass,Plantago erecta,41,15,0,0,0,99
2017,C,18,Thatch,Clarkia purpurea,13,14,1,13,14,30
2017,C,18,Grass,Plantago erecta,45,15,0,0,0,99
2017,C,18,Grass,Calycadenia pauciflora,11,12,0,9,9,31
2017,C,18,Thatch,Calycadenia pauciflora,14,14,2,11,13,31
2017,C,18,Thatch,Plantago erecta,47,15,0,0,0,99
2017,C,30,Thatch,Plantago erecta,85,15,0,0,0,99
2017,C,30,Grass,Calycadenia pauciflora,4,4,0,4,4,31
2017,C,30,Thatch,Lasthenia californica,12,13,0,3,3,100
2017,C,30,Grass,Clarkia purpurea,11,15,1,1,2,30
2017,C,30,Grass,Plantago erecta,86,15,0,0,0,99
2017,C,30,No Grass,Calycadenia pauciflora,7,9,0,9,9,31
2017,C,30,No Grass,Agoseris heterophylla,94,15,0,2,2,94
2017,C,30,Grass,Hemizonia congesta,9,17,2,4,6,32
2017,C,30,Thatch,Calycadenia pauciflora,4,4,0,4,4,31
2017,C,30,Thatch,Hemizonia congesta,17,17,5,4,9,32
2017,C,30,Grass,Lasthenia californica,28,18,3,0,3,100
2017,C,30,Grass,Agoseris heterophylla,94,15,0,1,1,94
2017,C,30,No Grass,Clarkia purpurea,20,15,0,6,6,30
2017,C,30,Thatch,Clarkia purpurea,21,15,1,5,6,30
2017,C,30,Thatch,Agoseris heterophylla,37,20,5,6,11,94
2017,C,30,No Grass,Lasthenia californica,24,15,0,2,2,100
2017,C,30,No Grass,Plantago erecta,99,15,0,0,0,99
2017,C,30,No Grass,Hemizonia congesta,27,15,2,4,6,32
2017,C,50,Grass,Clarkia purpurea,15,15,1,11,12,30
2017,C,50,Grass,Hemizonia congesta,20,15,0,2,2,32
2017,C,50,No Grass,Lasthenia californica,46,15,0,0,0,100
2017,C,50,Thatch,Agoseris heterophylla,56,16,1,5,6,94
2017,C,50,No Grass,Agoseris heterophylla,94,15,0,4,4,94
2017,C,50,Thatch,Calycadenia pauciflora,3,3,2,1,3,31
2017,C,50,Grass,Lasthenia californica,29,15,0,0,0,100
2017,C,50,Grass,Agoseris heterophylla,63,16,1,0,1,94
2017,C,50,No Grass,Hemizonia congesta,14,15,0,10,10,32
2017,C,50,No Grass,Clarkia purpurea,28,15,0,9,9,30
2017,C,50,No Grass,Calycadenia pauciflora,24,15,0,11,11,31
2017,C,50,Grass,Plantago erecta,61,15,0,0,0,99
2017,C,50,Thatch,Hemizonia congesta,13,17,3,11,14,32
2017,C,50,Thatch,Lasthenia californica,21,15,3,0,3,100
2017,C,50,Thatch,Plantago erecta,43,15,0,0,0,99
2017,C,50,Grass,Calycadenia pauciflora,19,15,0,8,8,31
2017,C,50,No Grass,Plantago erecta,99,15,0,0,0,99
2017,C,50,Thatch,Clarkia purpurea,10,13,4,8,12,30
2017,C,56,Thatch,Lasthenia californica,24,16,2,0,2,100
2017,C,56,No Grass,Lasthenia californica,35,15,0,0,0,100
2017,C,56,Thatch,Calycadenia pauciflora,10,10,3,7,10,31
2017,C,56,No Grass,Calycadenia pauciflora,8,8,0,4,4,31
2017,C,56,No Grass,Agoseris heterophylla,74,15,0,1,1,94
2017,C,56,Grass,Hemizonia congesta,30,15,0,0,0,32
2017,C,56,Thatch,Clarkia purpurea,7,7,0,7,7,30
2017,C,56,Grass,Agoseris heterophylla,93,15,0,0,0,94
2017,C,56,Thatch,Hemizonia congesta,29,15,0,7,7,32
2017,C,56,No Grass,Clarkia purpurea,18,15,0,8,8,30
2017,C,56,Grass,Lasthenia californica,12,12,1,0,1,100
2017,C,56,Thatch,Agoseris heterophylla,22,16,2,0,2,94
2017,C,56,Grass,Calycadenia pauciflora,15,15,0,11,11,31
2017,C,56,Grass,Plantago erecta,60,15,0,0,0,99
2017,C,56,No Grass,Hemizonia congesta,28,15,1,2,3,32
2017,C,56,No Grass,Plantago erecta,96,15,0,0,0,99
2017,C,56,Grass,Clarkia purpurea,9,11,0,6,6,30
2017,C,56,Thatch,Plantago erecta,52,15,0,0,0,99
2017,C,82,Thatch,Hemizonia congesta,14,14,1,11,12,32
2017,C,82,No Grass,Lasthenia californica,71,24,9,0,9,100
2017,C,82,Grass,Agoseris heterophylla,68,18,3,2,5,94
2017,C,82,No Grass,Agoseris heterophylla,77,16,2,0,2,94
2017,C,82,Grass,Calycadenia pauciflora,17,15,4,8,12,31
2017,C,82,Grass,Hemizonia congesta,10,14,1,8,9,32
2017,C,82,No Grass,Clarkia purpurea,14,15,13,1,14,30
2017,C,82,Thatch,Plantago erecta,70,15,0,0,0,99
2017,C,82,Thatch,Clarkia purpurea,13,14,3,10,13,30
2017,C,82,No Grass,Hemizonia congesta,8,10,2,0,2,32
2017,C,82,No Grass,Plantago erecta,21,20,11,1,12,99
2017,C,82,No Grass,Calycadenia pauciflora,21,15,1,2,3,31
2017,C,82,Thatch,Agoseris heterophylla,37,15,1,3,4,94
2017,C,82,Grass,Lasthenia californica,48,16,3,1,4,100
2017,C,82,Thatch,Lasthenia californica,58,18,3,3,6,100
2017,C,82,Thatch,Calycadenia pauciflora,5,5,1,4,5,31
2017,C,82,Grass,Clarkia purpurea,26,15,3,9,12,30
2017,C,82,Grass,Plantago erecta,87,18,3,1,4,99
2017,C,84,No Grass,Clarkia purpurea,17,15,1,7,8,30
2017,C,84,Grass,Plantago erecta,72,15,0,1,1,99
2017,C,84,Thatch,Agoseris heterophylla,57,19,4,7,11,94
2017,C,84,No Grass,Plantago erecta,69,15,0,0,0,99
2017,C,84,No Grass,Hemizonia congesta,28,15,1,3,4,32
2017,C,84,Grass,Hemizonia congesta,10,13,3,1,4,32
2017,C,84,Thatch,Plantago erecta,59,15,0,3,3,99
2017,C,84,Thatch,Hemizonia congesta,22,15,0,10,10,32
2017,C,84,No Grass,Lasthenia californica,56,15,0,0,0,100
2017,C,84,Thatch,Clarkia purpurea,21,16,1,11,12,30
2017,C,84,Grass,Calycadenia pauciflora,8,9,1,3,4,31
2017,C,84,Thatch,Calycadenia pauciflora,8,8,0,8,8,31
2017,C,84,No Grass,Calycadenia pauciflora,6,9,0,5,5,31
2017,C,84,No Grass,Agoseris heterophylla,82,15,0,0,0,94
2017,C,84,Grass,Lasthenia californica,64,15,0,0,0,100
2017,C,84,Grass,Agoseris heterophylla,94,16,1,3,4,94
2017,C,84,Grass,Clarkia purpurea,15,14,2,9,11,30
2017,C,84,Thatch,Lasthenia californica,52,15,0,0,0,100
2017,C,86,Thatch,Clarkia purpurea,18,15,2,10,12,30
2017,C,86,Grass,Hemizonia congesta,16,15,0,5,5,32
2017,C,86,Grass,Calycadenia pauciflora,16,15,0,2,2,31
2017,C,86,No Grass,Lasthenia californica,48,15,0,0,0,100
2017,C,86,Grass,Agoseris heterophylla,94,15,0,0,0,94
2017,C,86,Grass,Clarkia purpurea,18,15,0,10,10,30
2017,C,86,Grass,Lasthenia californica,85,15,0,0,0,100
2017,C,86,Thatch,Agoseris heterophylla,94,15,0,2,2,94
2017,C,86,Thatch,Calycadenia pauciflora,5,3,0,3,3,31
2017,C,86,No Grass,Plantago erecta,74,15,0,0,0,99
2017,C,86,No Grass,Agoseris heterophylla,94,15,0,3,3,94
2017,C,86,Thatch,Plantago erecta,68,15,1,0,1,99
2017,C,86,Grass,Plantago erecta,77,15,0,0,0,99
2017,C,86,Thatch,Hemizonia congesta,17,15,4,2,6,32
2017,C,86,Thatch,Lasthenia californica,55,16,1,1,2,100
2017,C,86,No Grass,Calycadenia pauciflora,3,3,0,0,0,31
2017,C,86,No Grass,Hemizonia congesta,16,15,0,4,4,32
2017,C,86,No Grass,Clarkia purpurea,4,8,1,5,6,30
2017,C,92,Thatch,Agoseris heterophylla,0,0,0,0,0,94
2017,C,92,Grass,Plantago erecta,50,15,0,0,0,99
2017,C,92,Grass,Calycadenia pauciflora,10,10,0,5,5,31
2017,C,92,No Grass,Lasthenia californica,48,16,1,2,3,100
2017,C,92,Thatch,Hemizonia congesta,4,15,1,8,9,32
2017,C,92,No Grass,Plantago erecta,72,15,0,0,0,99
2017,C,92,No Grass,Hemizonia congesta,32,15,0,6,6,32
2017,C,92,Thatch,Plantago erecta,30,15,0,2,2,99
2017,C,92,Thatch,Lasthenia californica,15,16,3,3,6,100
2017,C,92,Grass,Hemizonia congesta,32,16,2,5,7,32
2017,C,92,Thatch,Clarkia purpurea,25,15,2,12,14,30
2017,C,92,Thatch,Calycadenia pauciflora,6,6,0,4,4,31
2017,C,92,Grass,Lasthenia californica,50,16,1,0,1,100
2017,C,92,Grass,Agoseris heterophylla,51,15,0,5,5,94
2017,C,92,No Grass,Clarkia purpurea,25,23,13,8,21,30
2017,C,92,No Grass,Agoseris heterophylla,69,15,0,1,1,94
2017,C,92,No Grass,Calycadenia pauciflora,12,12,0,8,8,31
2017,C,92,Grass,Clarkia purpurea,25,16,1,6,7,30
2017,C,96,Thatch,Plantago erecta,39,15,0,0,0,99
2017,C,96,No Grass,Clarkia purpurea,21,15,0,14,14,30
2017,C,96,Grass,Plantago erecta,67,15,0,0,0,99
2017,C,96,No Grass,Lasthenia californica,23,15,0,4,4,100
2017,C,96,Thatch,Calycadenia pauciflora,6,6,2,4,6,31
2017,C,96,No Grass,Calycadenia pauciflora,9,9,0,7,7,31
2017,C,96,Grass,Hemizonia congesta,32,16,1,7,8,32
2017,C,96,Grass,Agoseris heterophylla,53,17,2,11,13,94
2017,C,96,Grass,Calycadenia pauciflora,6,6,1,5,6,31
2017,C,96,No Grass,Hemizonia congesta,26,15,0,8,8,32
2017,C,96,Grass,Clarkia purpurea,7,11,2,8,10,30
2017,C,96,No Grass,Agoseris heterophylla,56,17,2,1,3,94
2017,C,96,Thatch,Agoseris heterophylla,2,2,0,2,2,94
2017,C,96,Thatch,Hemizonia congesta,7,15,0,3,3,32
2017,C,96,No Grass,Plantago erecta,81,15,0,0,0,99
2017,C,96,Thatch,Lasthenia californica,3,3,2,0,2,100
2017,C,96,Grass,Lasthenia californica,36,15,0,2,2,100
2017,C,96,Thatch,Clarkia purpurea,15,15,0,14,14,30
2017,C,98,No Grass,Clarkia purpurea,11,10,3,7,10,30
2017,C,98,Grass,Clarkia purpurea,10,10,4,6,10,30
2017,C,98,Thatch,Hemizonia congesta,6,15,2,7,9,32
2017,C,98,Grass,Plantago erecta,99,15,0,0,0,99
2017,C,98,Grass,Hemizonia congesta,16,15,0,5,5,32
2017,C,98,No Grass,Hemizonia congesta,12,15,0,9,9,32
2017,C,98,Thatch,Calycadenia pauciflora,2,2,0,2,2,31
2017,C,98,No Grass,Calycadenia pauciflora,12,13,0,11,11,31
2017,C,98,Grass,Agoseris heterophylla,43,18,3,4,7,94
2017,C,98,Thatch,Clarkia purpurea,9,11,2,9,11,30
2017,C,98,Thatch,Plantago erecta,20,16,1,0,1,99
2017,C,98,Thatch,Agoseris heterophylla,0,0,0,0,0,94
2017,C,98,Grass,Lasthenia californica,22,15,0,0,0,100
2017,C,98,No Grass,Agoseris heterophylla,23,18,6,4,10,94
2017,C,98,Thatch,Lasthenia californica,5,5,5,0,5,100
2017,C,98,Grass,Calycadenia pauciflora,17,15,2,11,13,31
2017,C,98,No Grass,Plantago erecta,81,15,0,0,0,99
2017,C,98,No Grass,Lasthenia californica,25,15,1,3,4,100