Species_Name,Plot,Year,Count,Notes,viable,Treat.Code,avg.num.per.sub,p.surv,stem.g.F,leaf.g.F,repr.g.F,total.g.F,CN.F,RGR.la.F,d13C.F,SLA.F,stem.g.GH,leaf.g.GH,repr.g.GH,total.g.GH,CN.GH,RGRt.GH,RGR.la.GH,d13C.GH,SLA.GH,PC1
Agoseris heterophylla,84,2017,1,NA,94,C,94,0.010638298,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,82,2017,0,NA,94,C,94,0,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,50,2017,0,NA,94,C,94,0,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,18,2017,1,NA,94,C,94,0.010638298,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,56,2017,0,NA,94,C,94,0,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,86,2017,0,NA,94,C,94,0,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,92,2017,0,NA,94,C,94,0,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,96,2017,0,NA,94,C,94,0,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,98,2017,1,NA,94,C,94,0.010638298,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Agoseris heterophylla,30,2017,2,NA,94,C,94,0.021276596,0.0145,0.0175,0.016,0.048,22.58385988,0.017577547,-31.78,413.5546573,2.7425,1.444,1.3165,5.503,26.91000823,0.097516201,0.065519721,-31.72125,253.4854481,-0.876427665
Calycadenia pauciflora,86,2017,12,NA,31,C,31,0.387096774,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,96,2017,18,NA,31,C,31,0.580645161,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,18,2017,11,NA,31,C,31,0.35483871,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,30,2017,10,NA,31,C,31,0.322580645,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,82,2017,9,NA,31,C,31,0.290322581,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,92,2017,15,NA,31,C,31,0.483870968,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,84,2017,24,NA,31,C,31,0.774193548,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,98,2017,14,NA,31,C,31,0.451612903,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,50,2017,25,NA,31,C,31,0.806451613,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Calycadenia pauciflora,56,2017,11,NA,31,C,31,0.35483871,0.0493,0.0452,0.0235,0.118,42.89698914,0.006572209,-28.6,54.55595238,5.892,3.476,2.2435,11.6115,27.63689795,0.068565092,0.04161247,-30.95375,60.88636364,1.545180499
Clarkia purpurea,82,2017,39,NA,96,C,96,0.40625,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,30,2017,32,NA,96,C,96,0.333333333,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,18,2017,27,NA,96,C,96,0.28125,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,84,2017,28,NA,96,C,96,0.291666667,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,86,2017,18,NA,96,C,96,0.1875,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,56,2017,29,NA,96,C,96,0.302083333,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,98,2017,32,NA,96,C,96,0.333333333,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,92,2017,22,NA,96,C,96,0.229166667,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,96,2017,36,NA,96,C,96,0.375,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Clarkia purpurea,50,2017,41,NA,96,C,96,0.427083333,0.0964,0.063,0.0619,0.2213,24.47418673,0.012867571,-29.412,87.04476357,4.7645,1.6625,5.486,11.913,21.87809389,0.09293733,0.059170252,-30.2925,138.1132006,0.605290877
Hemizonia congesta,30,2017,13,NA,48,C,48,0.270833333,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,18,2017,4,NA,48,C,48,0.083333333,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,50,2017,24,NA,48,C,48,0.5,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,84,2017,22,NA,48,C,48,0.458333333,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,82,2017,9,NA,48,C,48,0.1875,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,92,2017,21,NA,48,C,48,0.4375,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,56,2017,5,NA,48,C,48,0.104166667,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,86,2017,5,NA,48,C,48,0.104166667,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,98,2017,27,NA,48,C,48,0.5625,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Hemizonia congesta,96,2017,5,NA,48,C,48,0.104166667,0.6358,0.37525,0.18655,1.1976,24.1626437,0.011243105,-28.01,64.04967576,9.145,3.815,1.254,14.214,17.28698377,0.071483335,0.051401908,-29.9875,87.9,1.375156756
Lasthenia californica,84,2017,63,NA,100,C,100,0.63,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,18,2017,52,NA,100,C,100,0.52,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,30,2017,38,NA,100,C,100,0.38,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,82,2017,30,NA,100,C,100,0.3,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,92,2017,42,NA,100,C,100,0.42,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,50,2017,43,NA,100,C,100,0.43,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,98,2017,7,NA,100,C,100,0.07,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,56,2017,40,NA,100,C,100,0.4,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,86,2017,28,NA,100,C,100,0.28,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Lasthenia californica,96,2017,43,NA,100,C,100,0.43,0.0024,0.0044,0.0045,0.0113,17.62531482,0.026285025,-31.678,240.1398996,0.9115,0.6625,0.518,2.092,11.4507198,0.130706254,0.097798748,-32.29625,349.085768,-1.634667781
Plantago erecta,82,2017,64,NA,99,C,99,0.646464646,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,50,2017,69,NA,99,C,99,0.696969697,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,86,2017,70,NA,99,C,99,0.707070707,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,56,2017,65,NA,99,C,99,0.656565657,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,30,2017,75,NA,99,C,99,0.757575758,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,18,2017,23,NA,99,C,99,0.232323232,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,84,2017,76,NA,99,C,99,0.767676768,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,98,2017,71,NA,99,C,99,0.717171717,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,96,2017,91,NA,99,C,99,0.919191919,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686
Plantago erecta,92,2017,63,NA,99,C,99,0.636363636,0.00245,0.01125,0.00465,0.01835,25.31867762,0.024078604,-30.736,130.6625596,0.9525,1.1005,3.0495,5.1025,14.53942334,0.075090169,0.066152329,-31.54375,177.1393043,-1.014532686